지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd)
98,동두천,1998,12.1,-17.8,19980125,33.2,19980912,7.2,18.1,2102.2,208.5,19980806
98,동두천,1999,11.5,-15.3,19991221,35.4,19990811,6.5,17.5,1752.2,377.5,19990801
98,동두천,2000,11,-17.2,20001226,34.5,20000802,5.7,17.1,1345.2,185.5,20000828
98,동두천,2001,10.8,-26.2,20010115,35.5,20010817,5.2,17.7,1278,105.4,20010714
98,동두천,2002,11.1,-20.4,20020103,35.6,20020728,5.8,17.5,1261.1,133.5,20020805
98,동두천,2003,11.1,-19.7,20030130,33,20030805,6.1,17.3,1853.5,201.5,20030918
98,동두천,2004,11.2,-19.6,20040122,35.6,20040811,5.8,17.8,1534.5,154.5,20040712
98,동두천,2005,10.3,-18,20051218,34.8,20050806,5.1,16.9,1378.2,116,20050728
98,동두천,2006,11.2,-17.5,20060204,34.8,20060809,6.1,17.8,1360.1,208,20060712
98,동두천,2007,11.5,-13.8,20070114,34.3,20070618,6.6,18,1286.3,91.5,20070809
98,동두천,2008,11.7,-15.2,20080117,35.2,20080808,6.6,18.2,1518.2,265,20080724
98,동두천,2009,11.7,-15,20091228,34.1,20090816,6.7,17.9,1527.8,233.5,20090812
98,동두천,2010,10.9,-19.5,20100106,33,20100811,6.2,16.7,1939.5,121.5,20100717
98,동두천,2011,10.7,-19.1,20110117,35.2,20110620,5.9,16.8,2311.2,449.5,20110727
98,동두천,2012,11,-19.7,20120203,36.4,20120804,6,17.4,1383.9,105,20120630
98,동두천,2013,11.4,-20.7,20130103,34.3,20130609,6.4,17.5,1470.9,131,20130708
98,동두천,2014,12.1,-15.6,20141218,36.3,20140802,6.9,18.7,741.6,66.5,20140903
98,동두천,2015,12.4,-14.3,20150209,35.7,20150711,7.1,19,988.5,105.8,20150725
98,동두천,2016,12.6,-19.3,20160124,35.7,20160811,7.3,19.3,1087.2,162.1,20160705
